epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4468,1.94701,3.39573,2.06204,0.4739,0.23269,0.24345,0.0943,2.33553,2.81491,2.48378,0.000328042,0.000328042,0.0675238
2,38.946,1.77039,2.15294,1.90781,0.43749,0.28712,0.22971,0.08587,2.35061,4.34054,2.77233,0.000654828,0.000654828,0.0345173
3,57.2956,1.77389,2.19104,1.94067,0.18776,0.14591,0.1343,0.04581,2.56566,3.97544,2.80917,0.000975014,0.000975014,0.00150411
4,75.7219,1.77245,2.13516,1.93527,0.48836,0.35358,0.30731,0.12681,2.20029,2.52815,2.33165,0.0009703,0.0009703,0.0009703
5,94.5196,1.72483,2.07367,1.90609,0.65366,0.3547,0.41439,0.15472,2.07799,2.09238,2.13333,0.0009604,0.0009604,0.0009604
6,113.591,1.70643,1.99944,1.88839,0.49684,0.36631,0.32284,0.13461,2.25383,2.29891,2.30632,0.0009505,0.0009505,0.0009505
7,132.32,1.70261,1.96392,1.86559,0.64558,0.45684,0.49561,0.18289,2.14037,2.02126,2.24953,0.0009406,0.0009406,0.0009406
8,151.052,1.6972,2.02035,1.86459,0.49903,0.50574,0.45372,0.18602,1.98766,2.29231,2.09887,0.0009307,0.0009307,0.0009307
9,169.863,1.64974,1.98058,1.85489,0.50066,0.47988,0.45415,0.16739,2.15995,2.0046,2.22911,0.0009208,0.0009208,0.0009208
10,188.696,1.6376,1.91738,1.83921,0.68135,0.49883,0.53935,0.2208,1.983,1.9622,2.06761,0.0009109,0.0009109,0.0009109
11,207.785,1.58868,1.86895,1.7868,0.68377,0.55473,0.58825,0.26364,1.86573,1.75457,1.92787,0.000901,0.000901,0.000901
12,226.606,1.57971,1.83213,1.77755,0.7229,0.53697,0.59027,0.26083,1.88632,1.74403,1.94943,0.0008911,0.0008911,0.0008911
13,245.239,1.58029,1.82396,1.78329,0.45565,0.57395,0.50328,0.23,1.84871,1.77613,1.91595,0.0008812,0.0008812,0.0008812
14,263.967,1.58027,1.82558,1.77619,0.70654,0.48128,0.56301,0.23243,1.9736,1.72387,2.03586,0.0008713,0.0008713,0.0008713
15,282.711,1.57302,1.7999,1.78041,0.44961,0.50234,0.47262,0.17999,2.15856,1.84957,2.16579,0.0008614,0.0008614,0.0008614
16,301.467,1.57455,1.78842,1.77134,0.67393,0.50924,0.55378,0.23466,1.92731,1.80258,1.99841,0.0008515,0.0008515,0.0008515
17,320.236,1.57335,1.7599,1.77363,0.67358,0.5317,0.54711,0.22952,2.01934,1.74998,1.98635,0.0008416,0.0008416,0.0008416
18,338.952,1.57945,1.78141,1.77808,0.61292,0.56973,0.58661,0.28101,1.84715,1.69326,1.91482,0.0008317,0.0008317,0.0008317
19,357.962,1.54748,1.77708,1.75612,0.55462,0.54782,0.54949,0.23487,2.02294,1.70296,2.05266,0.0008218,0.0008218,0.0008218
20,376.887,1.53323,1.70309,1.73143,0.54854,0.6345,0.61797,0.25743,1.9775,1.64027,1.96362,0.0008119,0.0008119,0.0008119
21,395.56,1.52151,1.74197,1.75522,0.54356,0.59777,0.60078,0.26591,1.90177,1.72368,1.96957,0.000802,0.000802,0.000802
22,414.272,1.56902,1.74525,1.74968,0.4818,0.51788,0.53461,0.22722,1.95822,1.77379,1.98431,0.0007921,0.0007921,0.0007921
23,433.233,1.53953,1.7548,1.75777,0.49349,0.57586,0.55926,0.2441,1.97843,1.65557,1.99107,0.0007822,0.0007822,0.0007822
24,451.879,1.5168,1.74082,1.73626,0.70161,0.56108,0.61398,0.28069,1.81884,1.57002,1.87025,0.0007723,0.0007723,0.0007723
25,470.471,1.52482,1.72446,1.74297,0.67221,0.58461,0.64958,0.29743,1.80783,1.54963,1.85161,0.0007624,0.0007624,0.0007624
26,489.227,1.53049,1.71615,1.75395,0.7257,0.56674,0.64006,0.29722,1.76857,1.57093,1.84658,0.0007525,0.0007525,0.0007525
27,507.897,1.51959,1.69716,1.75265,0.55001,0.58536,0.60934,0.27555,1.86111,1.61064,1.94374,0.0007426,0.0007426,0.0007426
28,526.579,1.5007,1.67133,1.71926,0.49389,0.60327,0.61901,0.27015,1.81671,1.62974,1.86601,0.0007327,0.0007327,0.0007327
29,545.338,1.5038,1.66532,1.72399,0.57747,0.59351,0.62084,0.30114,1.75211,1.54995,1.83226,0.0007228,0.0007228,0.0007228
30,564.188,1.51361,1.66774,1.72863,0.76145,0.56984,0.63679,0.29546,1.83061,1.52907,1.85731,0.0007129,0.0007129,0.0007129
31,582.949,1.53402,1.71026,1.72892,0.69363,0.55884,0.59846,0.24834,2.01115,1.66428,1.99192,0.000703,0.000703,0.000703
32,601.765,1.50122,1.66961,1.71487,0.5592,0.64654,0.64745,0.29474,1.84981,1.47809,1.88325,0.0006931,0.0006931,0.0006931
33,620.757,1.50935,1.64191,1.72529,0.59505,0.63903,0.65076,0.31811,1.7411,1.45332,1.80054,0.0006832,0.0006832,0.0006832
34,639.756,1.51077,1.66201,1.73554,0.63427,0.59617,0.61841,0.3076,1.75687,1.51685,1.83371,0.0006733,0.0006733,0.0006733
35,658.51,1.48946,1.64626,1.69964,0.5773,0.59243,0.61095,0.29099,1.82674,1.59044,1.9159,0.0006634,0.0006634,0.0006634
36,677.274,1.49717,1.65599,1.71298,0.67885,0.60908,0.66594,0.34182,1.67498,1.44645,1.79553,0.0006535,0.0006535,0.0006535
37,696.198,1.502,1.64785,1.7145,0.66808,0.60159,0.65173,0.32479,1.69837,1.52466,1.83037,0.0006436,0.0006436,0.0006436
38,714.892,1.47299,1.6319,1.70043,0.61532,0.62923,0.64995,0.31387,1.7124,1.44019,1.82724,0.0006337,0.0006337,0.0006337
39,733.573,1.46549,1.59198,1.68468,0.61481,0.70458,0.69787,0.33799,1.7259,1.42324,1.7945,0.0006238,0.0006238,0.0006238
40,752.222,1.47023,1.5826,1.69333,0.5584,0.67681,0.65915,0.30034,1.7906,1.47741,1.88063,0.0006139,0.0006139,0.0006139
41,770.897,1.44972,1.55661,1.66571,0.56608,0.66324,0.65303,0.30988,1.79218,1.43392,1.85132,0.000604,0.000604,0.000604
42,789.643,1.45806,1.56388,1.68339,0.5876,0.6608,0.66796,0.31411,1.81223,1.41801,1.8694,0.0005941,0.0005941,0.0005941
43,808.446,1.46933,1.57332,1.69257,0.59729,0.64679,0.64804,0.28916,1.86115,1.47659,1.84144,0.0005842,0.0005842,0.0005842
44,827.395,1.44586,1.58397,1.68053,0.59759,0.66937,0.67221,0.3208,1.8334,1.4244,1.84129,0.0005743,0.0005743,0.0005743
45,846.207,1.44755,1.55045,1.67224,0.62251,0.64507,0.68436,0.34074,1.69066,1.3953,1.76632,0.0005644,0.0005644,0.0005644
46,865.024,1.44541,1.55185,1.68261,0.59517,0.70514,0.69104,0.32634,1.75224,1.41911,1.80285,0.0005545,0.0005545,0.0005545
47,883.774,1.43252,1.5272,1.67335,0.62746,0.67846,0.69245,0.34733,1.70904,1.41251,1.77512,0.0005446,0.0005446,0.0005446
48,902.815,1.43539,1.52275,1.6563,0.71818,0.60927,0.6701,0.33164,1.72238,1.41643,1.76007,0.0005347,0.0005347,0.0005347
49,921.616,1.43567,1.5123,1.65747,0.67665,0.65611,0.68912,0.31323,1.83558,1.39601,1.84998,0.0005248,0.0005248,0.0005248
50,940.517,1.41675,1.48916,1.6377,0.6211,0.70112,0.68688,0.33232,1.72585,1.33007,1.79681,0.0005149,0.0005149,0.0005149
51,959.145,1.41867,1.48917,1.65337,0.55437,0.68736,0.666,0.32633,1.70879,1.40367,1.78912,0.000505,0.000505,0.000505
52,978.019,1.42276,1.49215,1.64355,0.64808,0.66131,0.67294,0.34813,1.67045,1.45749,1.76047,0.0004951,0.0004951,0.0004951
53,996.777,1.40851,1.46821,1.63543,0.6082,0.6817,0.68605,0.3417,1.6726,1.38232,1.77261,0.0004852,0.0004852,0.0004852
54,1015.41,1.41196,1.48847,1.64328,0.66227,0.66196,0.69872,0.36127,1.67486,1.36681,1.74928,0.0004753,0.0004753,0.0004753
55,1034.16,1.42182,1.47669,1.65113,0.65369,0.68569,0.70238,0.37095,1.62836,1.30777,1.73098,0.0004654,0.0004654,0.0004654
56,1053.06,1.41775,1.48046,1.64901,0.64356,0.70181,0.69136,0.35232,1.66777,1.35472,1.77088,0.0004555,0.0004555,0.0004555
57,1071.65,1.3642,1.42222,1.62072,0.67559,0.66808,0.69045,0.34067,1.75436,1.34579,1.81636,0.0004456,0.0004456,0.0004456
58,1090.31,1.383,1.44912,1.62752,0.7202,0.66193,0.71819,0.36333,1.67714,1.3177,1.75872,0.0004357,0.0004357,0.0004357
59,1109.02,1.38657,1.44627,1.63726,0.6942,0.68498,0.71799,0.37605,1.63898,1.27732,1.72949,0.0004258,0.0004258,0.0004258
60,1127.92,1.36493,1.43909,1.61456,0.66624,0.66728,0.70557,0.36679,1.63799,1.33383,1.75208,0.0004159,0.0004159,0.0004159
61,1146.86,1.38851,1.45574,1.63695,0.73633,0.59016,0.68336,0.34766,1.64265,1.39112,1.76606,0.000406,0.000406,0.000406
62,1165.72,1.38516,1.44838,1.62777,0.62733,0.6886,0.70364,0.34584,1.69871,1.31459,1.75084,0.0003961,0.0003961,0.0003961
63,1184.62,1.3834,1.44592,1.63696,0.65159,0.72435,0.73651,0.38388,1.64411,1.27631,1.72187,0.0003862,0.0003862,0.0003862
64,1203.69,1.38586,1.43784,1.6319,0.67939,0.68677,0.72787,0.38143,1.64152,1.27771,1.728,0.0003763,0.0003763,0.0003763
65,1222.75,1.40031,1.44409,1.63594,0.58543,0.72201,0.70224,0.34568,1.73,1.35765,1.80445,0.0003664,0.0003664,0.0003664
66,1241.45,1.41758,1.45487,1.64578,0.65546,0.67575,0.71187,0.37088,1.67744,1.28608,1.73667,0.0003565,0.0003565,0.0003565
67,1260.11,1.34202,1.3616,1.59196,0.64986,0.71952,0.72556,0.38761,1.63095,1.2354,1.71017,0.0003466,0.0003466,0.0003466
68,1278.92,1.34935,1.37812,1.59053,0.68147,0.67478,0.72204,0.38116,1.6472,1.25963,1.71921,0.0003367,0.0003367,0.0003367
69,1297.63,1.36311,1.3927,1.61061,0.71065,0.67711,0.72033,0.35329,1.7242,1.27042,1.78347,0.0003268,0.0003268,0.0003268
70,1316.25,1.37446,1.40867,1.61085,0.66098,0.73544,0.73498,0.37258,1.69028,1.27488,1.74863,0.0003169,0.0003169,0.0003169
71,1334.98,1.3548,1.39143,1.59564,0.63761,0.70662,0.72055,0.38145,1.60858,1.25477,1.72049,0.000307,0.000307,0.000307
72,1353.71,1.37439,1.40358,1.60976,0.75557,0.69555,0.75308,0.40781,1.58161,1.21013,1.68576,0.0002971,0.0002971,0.0002971
73,1372.43,1.32583,1.35387,1.57522,0.67025,0.70684,0.7295,0.40034,1.57551,1.25129,1.71033,0.0002872,0.0002872,0.0002872
74,1391.21,1.36081,1.38209,1.61269,0.69128,0.69467,0.73685,0.38736,1.62769,1.26687,1.73684,0.0002773,0.0002773,0.0002773
75,1409.86,1.3283,1.36028,1.58764,0.67261,0.71375,0.72768,0.38362,1.66094,1.25045,1.73078,0.0002674,0.0002674,0.0002674
76,1428.65,1.34536,1.35888,1.58788,0.6882,0.70194,0.74202,0.39901,1.61176,1.21092,1.70815,0.0002575,0.0002575,0.0002575
77,1447.3,1.34223,1.36499,1.59079,0.705,0.69778,0.7338,0.38756,1.6267,1.24205,1.71582,0.0002476,0.0002476,0.0002476
78,1465.92,1.32125,1.34295,1.57694,0.69218,0.73432,0.75062,0.39344,1.64396,1.19892,1.71944,0.0002377,0.0002377,0.0002377
79,1484.52,1.31141,1.32203,1.57224,0.72112,0.71028,0.74758,0.41289,1.60664,1.21112,1.70634,0.0002278,0.0002278,0.0002278
80,1503.19,1.32795,1.32352,1.58302,0.67519,0.71922,0.74838,0.40973,1.61011,1.18289,1.71577,0.0002179,0.0002179,0.0002179
81,1521.83,1.29154,1.30655,1.55705,0.68755,0.71622,0.75429,0.41497,1.55536,1.17728,1.6915,0.000208,0.000208,0.000208
82,1540.75,1.30769,1.30761,1.56478,0.71377,0.72092,0.75233,0.4067,1.57744,1.19278,1.69277,0.0001981,0.0001981,0.0001981
83,1559.59,1.27751,1.24759,1.53976,0.71691,0.69817,0.74313,0.40415,1.59702,1.18723,1.70754,0.0001882,0.0001882,0.0001882
84,1578.36,1.31313,1.30838,1.57159,0.74425,0.68748,0.7514,0.4106,1.60548,1.16809,1.69611,0.0001783,0.0001783,0.0001783
85,1597.21,1.31514,1.31442,1.57206,0.70967,0.70022,0.7539,0.41305,1.57374,1.18507,1.69826,0.0001684,0.0001684,0.0001684
86,1616.03,1.30703,1.30125,1.57226,0.68943,0.7034,0.7405,0.39549,1.61334,1.20617,1.70359,0.0001585,0.0001585,0.0001585
87,1634.76,1.29139,1.2849,1.56086,0.68631,0.70445,0.74458,0.39663,1.60853,1.20757,1.7172,0.0001486,0.0001486,0.0001486
88,1653.87,1.29238,1.28964,1.5652,0.69888,0.7128,0.75698,0.41763,1.56053,1.16158,1.68571,0.0001387,0.0001387,0.0001387
89,1672.75,1.28181,1.26651,1.53912,0.73597,0.68693,0.75343,0.4109,1.57911,1.18126,1.69185,0.0001288,0.0001288,0.0001288
90,1691.43,1.26745,1.24909,1.53974,0.72096,0.69972,0.74443,0.40812,1.56251,1.19333,1.67879,0.0001189,0.0001189,0.0001189
91,1710.64,1.26853,1.16784,1.55454,0.68218,0.70362,0.74233,0.40438,1.559,1.20782,1.70104,0.000109,0.000109,0.000109
92,1729.12,1.21967,1.05679,1.52427,0.70481,0.68927,0.73664,0.4091,1.56435,1.20023,1.70498,9.91e-05,9.91e-05,9.91e-05
93,1747.6,1.23793,1.03944,1.53155,0.72989,0.69462,0.75175,0.41238,1.54842,1.20586,1.67668,8.92e-05,8.92e-05,8.92e-05
94,1765.97,1.21517,1.03446,1.52504,0.67921,0.72079,0.75349,0.42356,1.53871,1.17642,1.67029,7.93e-05,7.93e-05,7.93e-05
95,1784.52,1.19748,1.01052,1.5035,0.69815,0.69892,0.74854,0.42709,1.53111,1.18284,1.67638,6.94e-05,6.94e-05,6.94e-05
96,1803.05,1.21185,0.99146,1.50705,0.69528,0.70752,0.74732,0.42457,1.55578,1.16883,1.68769,5.95e-05,5.95e-05,5.95e-05
97,1821.49,1.19093,0.98172,1.49394,0.68425,0.7463,0.76445,0.42767,1.54801,1.15997,1.66828,4.96e-05,4.96e-05,4.96e-05
98,1839.98,1.18117,0.95203,1.49238,0.69033,0.75373,0.76521,0.43143,1.53868,1.14871,1.67218,3.97e-05,3.97e-05,3.97e-05
99,1858.59,1.17055,0.96439,1.49218,0.68426,0.73619,0.76268,0.43237,1.53213,1.15267,1.67007,2.98e-05,2.98e-05,2.98e-05
100,1877.18,1.16047,0.95193,1.49349,0.688,0.74125,0.76411,0.43351,1.53828,1.14893,1.67274,1.99e-05,1.99e-05,1.99e-05
